Enseignements de spécialité;Formation;Nombre de candidats bacheliers ayant confirmé au moins un vœu;Nombre de candidats bacheliers ayant reçu au moins une proposition d'admission;Nombre de candidats bacheliers ayant accepté une proposition d'admission
Arts&Arts;Licence Arts;1;1.0;1
Arts&Arts;Licence Histoire;1;0.0;0
Arts&Arts;Licence Informatique;0;0.0;0
Arts&Arts;Licence Philosophie, Epistémologie;0;0.0;0
Arts&Arts;Licence Physique et chimie;0;0.0;0
Arts&Arts;Licence Pluri Langues;0;0.0;0
Arts&Arts;Licence STAPS;0;0.0;0
Arts&Arts;Licence Sciences de la vie, biologie, santé;0;0.0;0
Arts&Arts;Licence Sciences du langage - Linguistique;0;0.0;0
Arts&Arts;CPGE S;0;0.0;0
Arts&Humanités, Littérature et Philosophie;Licence LEA;216;136.0;31
Arts&Humanités, Littérature et Philosophie;Licence Pluri Lettres - Langues - Sciences humaines;267;179.0;44
Arts&Humanités, Littérature et Philosophie;Licence Pluri Lettres - Sciences du langage - Arts;88;64.0;12
Arts&Humanités, Littérature et Philosophie;Licence Psychlogie, Sciences cognitives;868;445.0;214
Arts&Humanités, Littérature et Philosophie;Licence Sciences de l'univers, de la terre, de l'espace;2;0.0;0
Arts&Humanités, Littérature et Philosophie;BUT Service;341;75.0;46
Arts&Humanités, Littérature et Philosophie;BTS production;106;18.0;10
Arts&Humanités, Littérature et Philosophie;BTS service;665;218.0;94
Arts&Humanités, Littérature et Philosophie;CPGE L;418;268.0;140
Arts&Humanités, Littérature et Philosophie;CPGE S;69;12.0;4
Arts&Humanités, Littérature et Philosophie;Ecoles d'Ingénieurs;1;0.0;0
Arts&Humanités, Littérature et Philosophie;Ecoles de Commerce;22;5.0;4
Arts&Humanités, Littérature et Philosophie;Formations d'ART;932;268.0;164
Arts&Humanités, Littérature et Philosophie;DEUST;80;27.0;15
Arts&Humanités, Littérature et Philosophie;Formations des écoles nationales vétérinaires;0;0.0;0
Arts&Histoire,Géographie, Géopolitique, Sciences politiques;Licence Archéologie, Ethno, Préhistoire, Anthropologie;90;46.0;10
Arts&Histoire,Géographie, Géopolitique, Sciences politiques;Licence Electronique, Génie électrique, EEA;0;0.0;0
Arts&Histoire,Géographie, Géopolitique, Sciences politiques;Licence Géographie;273;167.0;50
Arts&Histoire,Géographie, Géopolitique, Sciences politiques;Licence Histoire;1273;1083.0;422
Arts&Histoire,Géographie, Géopolitique, Sciences politiques;Licence LEA;169;107.0;36
Arts&Histoire,Géographie, Géopolitique, Sciences politiques;Licence Physique et chimie;0;0.0;0
Arts&Histoire,Géographie, Géopolitique, Sciences politiques;Licence Pluri Langues;7;5.0;1
Arts&Histoire,Géographie, Géopolitique, Sciences politiques;Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers;6;3.0;1
Arts&Histoire,Géographie, Géopolitique, Sciences politiques;Licence Sciences de l'information et de la communication;287;147.0;53
Arts&Histoire,Géographie, Géopolitique, Sciences politiques;Licence Sciences de l'éducation;150;80.0;41
Arts&Histoire,Géographie, Géopolitique, Sciences politiques;BUT Service;421;92.0;50
Arts&Histoire,Géographie, Géopolitique, Sciences politiques;Ecoles d'Ingénieurs;2;0.0;0
Arts&Histoire,Géographie, Géopolitique, Sciences politiques;DCG;6;3.0;1
Arts&Histoire,Géographie, Géopolitique, Sciences politiques;Formations des écoles nationales vétérinaires;0;0.0;0
Arts&Littératures, langues et culture de l'antiquité;Licence Géographie;1;0.0;0
Arts&Littératures, langues et culture de l'antiquité;Licence Psychlogie, Sciences cognitives;2;1.0;0
Arts&Littératures, langues et culture de l'antiquité;Licence Sciences de gestion;0;0.0;0
Arts&Littératures, langues et culture de l'antiquité;Licence Sciences et technologies industrielles;0;0.0;0
Arts&Littératures, langues et culture de l'antiquité;Licence Las;5;0.0;0
Arts&Littératures, langues et culture de l'antiquité;PASS;0;0.0;0
Arts&Littératures, langues et culture de l'antiquité;BUT Production;0;0.0;0
Arts&Littératures, langues et culture de l'antiquité;BUT Service;2;1.0;1
Arts&Littératures, langues et culture de l'antiquité;CPGE L;2;1.0;1
Arts&Littératures, langues et culture de l'antiquité;Ecoles d'Ingénieurs;0;0.0;0
Arts&Langues, Littératures et Cultures Etrangères et Régionales;Licence Arts;3194;2397.0;1126
Arts&Langues, Littératures et Cultures Etrangères et Régionales;Licence Electronique, Génie électrique, EEA;0;0.0;0
Arts&Langues, Littératures et Cultures Etrangères et Régionales;Licence Génie civil;1;1.0;1
Arts&Langues, Littératures et Cultures Etrangères et Régionales;Licence MASS;5;3.0;1
Arts&Langues, Littératures et Cultures Etrangères et Régionales;Licence Pluri Lettres - Langues - Sciences humaines;250;160.0;35
Arts&Langues, Littératures et Cultures Etrangères et Régionales;Licence Pluri Sciences de la vie, de la santé, de la terre et de l'univers;11;2.0;1
Arts&Langues, Littératures et Cultures Etrangères et Régionales;Licence Pluri Sciences fondamentales et applications;0;0.0;0
Arts&Langues, Littératures et Cultures Etrangères et Régionales;Licence Psychlogie, Sciences cognitives;829;387.0;179
Arts&Langues, Littératures et Cultures Etrangères et Régionales;Licence Sciences de gestion;22;6.0;1
Arts&Langues, Littératures et Cultures Etrangères et Régionales;Licence Sciences juridiques;541;319.0;156
Arts&Langues, Littératures et Cultures Etrangères et Régionales;Licence Sciences religieuses;2;2.0;1
Arts&Langues, Littératures et Cultures Etrangères et Régionales;BTS service;1416;506.0;222
Arts&Langues, Littératures et Cultures Etrangères et Régionales;DCG;8;2.0;1
Arts&Langues, Littératures et Cultures Etrangères et Régionales;Formations des écoles nationales vétérinaires;1;0.0;0
Arts&Mathématiques;Licence LEA;95;72.0;23
Arts&Mathématiques;Licence Langues et littératures étrangères;168;134.0;29
Arts&Mathématiques;Licence Physique;15;7.0;3
